1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.009570466,0,0,0,0,0.050184198,0.034774014,0,0.025068158,0,0,0.0154756,0.009365416,0,0,0.011703047,0,0,0,0,0
0.009570466,0.018305498,0.05210286,0,0,0,0.052161021,0.01474831,0.175477104,0,0,0.216658405,0.037461664,0.010724906,0.217643331,0,0,0.499515617,0,0,0.317982735
0.066993262,0,0.15630858,0,0,0.200736793,0.086935034,0.01474831,0.42615868,0,0,0.263085206,0.056192496,0.042899625,0.355102277,0,0,0.435061989,0.057451067,0.038404934,0.820600607
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011454912,0,0,0,0,0,0
0.009570466,0.027458247,0,0.013345813,0,0,0,0.029496619,0.012534079,0,0,0.0154756,0,0,0,0,0.009925313,0,0.014362767,0,0
0,0,0,0,0.010628613,0,0,0,0,0,0,0,0,0,0.034364737,0,0.009925313,0,0,0,0
0,0,0,0,0,0.050184198,0,0,0,0,0,0.0154756,0,0,0,0,0,0,0.014362767,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035109142,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.009592736,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038404934,0.010257508
0.009570466,0,0,0,0,0.01254605,0,0,0,0,0,0,0.009365416,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02560329,0.010257508
0,0,0.02605143,0,0.021257226,0.037638149,0.069548028,0,0,0,0,0,0.04682708,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.012534079,0,0,0,0,0,0,0,0,0,0.043088301,0,0
0,0,0,0,0,0.037638149,0,0,0.012534079,0,0,0.0154756,0,0,0,0,0,0,0.014362767,0.012801645,0.020515015
0,0,0,0,0.010628613,0,0,0,0,0,0.012669856,0,0.009365416,0,0,0,0.009925313,0,0,0.012801645,0
0,0,0,0,0,0,0,0,0.012534079,0,0,0.030951201,0,0,0,0,0.009925313,0,0,0,0
0.019140932,0,0,0,0,0,0.017387007,0.01474831,0,0,0,0,0.018730832,0,0.011454912,0.011703047,0.009925313,0,0.028725534,0.012801645,0
0,0.009152749,0,0,0,0,0,0,0.012534079,0,0,0,0,0,0.022909824,0,0,0,0,0,0.010257508
0,0,0.02605143,0,0,0,0,0.01474831,0,0,0,0,0,0,0,0,0,0,0,0.012801645,0.020515015
0.009570466,0.018305498,0,0,0,0.087822347,0.034774014,0,0,0,0,0,0.009365416,0,0,0.023406094,0,0,0.014362767,0,0.010257508
0,0,0,0,0,0,0,0,0.012534079,0,0,0.0154756,0,0,0.011454912,0,0,0,0.028725534,0,0.010257508
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009925313,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.030951201,0,0,0.022909824,0,0,0,0,0,0
0.009570466,0,0,0,0,0,0,0,0,0,0.012669856,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.034774014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.02605143,0,0,0.01254605,0.017387007,0.01474831,0.137874867,0,0,0.092853602,0,0,0.034364737,0,0,0.435061989,0.014362767,0,0.071802553
